Name,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Lizzie,Return_to_owner,Dog,Spayed Female,10 years,Collie Smooth/Chow Chow,Sable
nan,Transfer,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black/White
Socks,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico
Captain,Adoption,Dog,Neutered Male,6 months,Cocker Spaniel Mix,Sable
Pablito,Return_to_owner,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tricolor
nan,Adoption,Dog,Neutered Male,6 months,Labrador Retriever Mix,Buff
nan,Transfer,Cat,Intact Male,3 months,Siamese Mix,Seal Point
Kimchi,Adoption,Dog,Spayed Female,1 year,Rottweiler/Labrador Retriever,Black/Tan
Bella,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/Black
Ares,Adoption,Dog,Neutered Male,2 months,Boxer Mix,Tricolor
nan,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
nan,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
nan,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
Sammy,Return_to_owner,Cat,Neutered Male,9 months,Domestic Shorthair Mix,White/Brown Tabby
nan,Transfer,Dog,Spayed Female,4 years,Rat Terrier Mix,Black/White
Challino,Adoption,Dog,Neutered Male,4 months,German Shepherd/Siberian Husky,Red/White
nan,Transfer,Cat,Intact Male,3 days,Domestic Shorthair Mix,White
Romeo,Transfer,Dog,Intact Male,6 years,Dachshund,Blue Merle/White
Dumpling,Adoption,Dog,Spayed Female,2 months,Border Collie/Labrador Retriever,Black/White
nan,Transfer,Cat,Intact Female,8 months,Domestic Shorthair Mix,Blue Tabby
Carl,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
nan,Transfer,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black
Belle,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
Lil' Mama,Return_to_owner,Dog,Intact Female,2 years,Pit Bull Mix,Fawn
nan,Adoption,Dog,Neutered Male,4 months,Collie Smooth/Labrador Retriever,Tricolor
nan,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
nan,Adoption,Cat,Spayed Female,3 months,Siamese Mix,Lynx Point/White
nan,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
Celeste,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby/White
Jack,Adoption,Dog,Neutered Male,5 years,Plott Hound/Rhod Ridgeback,Brown Brindle
Buffy,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
nan,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
Bizzy,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
nan,Adoption,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Tan/White
nan,Transfer,Dog,Neutered Male,2 years,Pointer/Labrador Retriever,Black/White
Molina,Adoption,Dog,Spayed Female,10 months,Anatol Shepherd/Great Pyrenees,White
nan,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue
Simon,Return_to_owner,Dog,Neutered Male,1 year,Anatol Shepherd,Fawn/Black
Sparkles,Adoption,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby/White
Laurel,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
Mya,Transfer,Dog,Spayed Female,7 years,Great Dane,Black/White
Firefly,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Sebastian,Euthanasia,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black/White
Aimee,Transfer,Dog,Intact Female,3 years,Australian Cattle Dog Mix,Tricolor
Lily,Transfer,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
Lola,Adoption,Dog,Spayed Female,2 years,Chinese Sharpei/Australian Cattle Dog,Red Tick/White
Sadie,Return_to_owner,Dog,Intact Female,12 years,Labrador Retriever Mix,Yellow
Pi,Adoption,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black
nan,Transfer,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
Qwayzar,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Calico
nan,Transfer,Dog,Unknown,6 days,Labrador Retriever Mix,White
Clover,Return_to_owner,Dog,Spayed Female,9 months,Rat Terrier Mix,Tricolor
Friskie,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black/White
Spartacus,Euthanasia,Dog,Neutered Male,2 years,Akita/Pit Bull,Tan/White
Leroy,Return_to_owner,Dog,Neutered Male,7 years,American Bulldog Mix,White
Severus,Transfer,Dog,Neutered Male,4 months,Labrador Retriever Mix,Blue
Lennon,Adoption,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby
Jezebel,Return_to_owner,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan
Lucy,Adoption,Dog,Spayed Female,2 years,Pointer/Labrador Retriever,Chocolate/White
Cody,Adoption,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
Nelson,Adoption,Cat,Neutered Male,5 months,Siamese Mix,Flame Point
nan,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
Nico,Transfer,Dog,Intact Male,1 year,Labrador Retriever,Buff/Tan
Watson,Transfer,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Black
Daisy,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair/Rat Terrier,White/Tan
Oso,Euthanasia,Dog,Intact Male,3 years,Rottweiler Mix,Black/Tan
nan,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
nan,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
Lizzy,Transfer,Dog,Spayed Female,2 years,Labrador Retriever,Black
Bobby,Adoption,Dog,Neutered Male,1 year,Boxer Mix,Brown/White
nan,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby
nan,Adoption,Dog,Neutered Male,2 years,Jack Russell Terrier Mix,White/Tan
Blaze,Return_to_owner,Dog,Intact Male,9 months,Pit Bull/Dogue De Bordeaux,Red/White
Roman,Adoption,Dog,Neutered Male,3 years,Labrador Retriever/Chow Chow,Brown
Rasberry,Euthanasia,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
Tucker,Adoption,Dog,Neutered Male,2 years,Bernese Mountain Dog/Rottweiler,Tricolor
nan,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Dog,Neutered Male,4 months,Plott Hound Mix,Brown Brindle/Red Tick
Houston,Return_to_owner,Dog,Intact Male,3 years,English Bulldog,Brown Brindle
Captain,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
Kerby,Transfer,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby/White
Tulip,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown
nan,Transfer,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/Tan
Tiny Tinker,Return_to_owner,Dog,Spayed Female,9 years,Chihuahua Shorthair,Brown
Nigel,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown
Sadie,Adoption,Dog,Spayed Female,6 months,Pointer Mix,White/Blue
nan,Adoption,Dog,Neutered Male,3 months,Chihuahua Longhair/Italian Greyhound,Tricolor
Pippin,Adoption,Dog,Neutered Male,1 month,Labrador Retriever/Blue Lacy,Chocolate/White
Calliope,Transfer,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Black/Tan
Petra,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
Judy,Return_to_owner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
Cloud,Adoption,Cat,Intact Male,2 months,Siamese Mix,Lilac Point
Grace,Return_to_owner,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Blue/White
Kief,Return_to_owner,Dog,Neutered Male,2 years,Dachshund/Catahoula,Brown Brindle/White
nan,Adoption,Dog,Neutered Male,2 months,Dachshund Wirehair Mix,Brown/Black
Callie,Euthanasia,Cat,Spayed Female,12 years,Domestic Longhair Mix,Tortie
nan,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue
Asha,Euthanasia,Dog,Intact Female,8 months,Labrador Retriever Mix,Black
Eleonora,Euthanasia,Cat,Intact Female,10 years,Domestic Shorthair Mix,Brown Tabby/White
Oliver,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby
Shaka,Adoption,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Buff/White
Riku,Return_to_owner,Dog,Neutered Male,1 year,Blue Lacy/Pit Bull,Blue/White
nan,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
Dennis,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
Nala,Adoption,Cat,Spayed Female,3 months,Siamese Mix,Lilac Point
nan,Adoption,Dog,Spayed Female,7 years,Miniature Poodle Mix,White
Pequina,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Brown
Jax,Return_to_owner,Dog,Intact Female,4 months,Boxer Mix,Brown Brindle/White
Tibbers,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Ranger,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Orange Tabby
Nala,Transfer,Cat,Spayed Female,2 years,Exotic Shorthair Mix,White/Orange Tabby
Marcia,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
nan,Transfer,Cat,Intact Female,4 days,Domestic Shorthair Mix,Torbie
nan,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
Bella,Adoption,Cat,Spayed Female,5 months,Siamese Mix,Tortie Point
Sammy,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Emma,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White
July,Euthanasia,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
nan,Transfer,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Brown/Black
nan,Return_to_owner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/Tan
Mason,Adoption,Dog,Neutered Male,3 years,Labrador Retriever/Chinese Sharpei,Black
Trousers,Return_to_owner,Dog,Intact Male,6 years,Basset Hound,Tricolor
Cassius,Adoption,Dog,Intact Male,8 months,Pit Bull Mix,White/Blue
nan,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
Popcorn,Return_to_owner,Dog,Neutered Male,3 years,Cocker Spaniel Mix,Yellow
nan,Return_to_owner,Dog,Intact Male,4 weeks,Chihuahua Shorthair Mix,Tricolor
Ellie,Return_to_owner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
nan,Transfer,Dog,Intact Male,2 months,Australian Cattle Dog Mix,Buff/White
Bino,Euthanasia,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Black
Marley,Return_to_owner,Dog,Neutered Male,5 years,Cocker Spaniel Mix,Black
Lucy,Return_to_owner,Dog,Spayed Female,7 years,Blue Lacy/Collie Smooth,Tricolor
nan,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue
Zeus,Return_to_owner,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White
nan,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
Haelo,Adoption,Dog,Neutered Male,6 years,Miniature Poodle Mix,Buff
Mary,Transfer,Dog,Intact Female,2 months,Labrador Retriever Mix,Chocolate/White
Dorchester,Euthanasia,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown
nan,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
Leia,Return_to_owner,Dog,Spayed Female,2 years,Black/Tan Hound Mix,Black/Tan
Morris,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Arthur,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
nan,Euthanasia,Cat,Neutered Male,8 years,Siamese Mix,Lynx Point
nan,Transfer,Dog,Unknown,1 week,Labrador Retriever Mix,White
Squirt,Return_to_owner,Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,White
Scarlet,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull Mix,Chocolate/White
Maui,Return_to_owner,Dog,Spayed Female,11 years,Norfolk Terrier/Border Terrier,Cream
nan,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby/White
Tyrone,Return_to_owner,Dog,Neutered Male,2 years,Border Collie Mix,Black/White
Sam,Transfer,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan
Chubs,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black
Chico,Return_to_owner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
nan,Transfer,Cat,Unknown,5 days,Domestic Shorthair Mix,Black
nan,Euthanasia,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Brown Tabby
nan,Adoption,Dog,Spayed Female,10 months,Jack Russell Terrier Mix,Tricolor
Leia,Return_to_owner,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby
Duke,Return_to_owner,Dog,Neutered Male,7 years,Pit Bull Mix,Red/White
Apollo,Return_to_owner,Dog,Intact Male,3 years,Siberian Husky,Black/White
Lucy,Return_to_owner,Dog,Spayed Female,2 years,Scottish Terrier/Cairn Terrier,Black
nan,Return_to_owner,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Blue Tabby
Hilde,Return_to_owner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Red
Hazel,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Calico
nan,Transfer,Cat,Unknown,8 months,Domestic Shorthair Mix,Black
Tucker,Adoption,Cat,Intact Male,3 months,Domestic Longhair Mix,Brown Tabby
Nugget,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
Tori,Adoption,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Tortie/White
nan,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Cream Tabby
Brisket,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
Sleepy,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Shadow,Adoption,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Chico,Return_to_owner,Dog,Neutered Male,5 years,Chihuahua Longhair Mix,Cream
nan,Transfer,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,White
Lyla,Return_to_owner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Yellow
Annie,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
Mew,Adoption,Dog,Spayed Female,2 months,Border Collie Mix,Tricolor
Sven,Transfer,Dog,Intact Male,3 months,Pit Bull Mix,White/Brown
Molly,Return_to_owner,Dog,Intact Female,10 years,Yorkshire Terrier Mix,Black/Tricolor
Cujo,Return_to_owner,Dog,Neutered Male,5 years,American Bulldog Mix,Tan
nan,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
Kane,Transfer,Dog,Neutered Male,7 years,Boxer,Brown/White
Sparkles,Return_to_owner,Dog,Spayed Female,1 year,Miniature Poodle,Apricot
Cameron,Adoption,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby
Riley,Return_to_owner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
Ellie,Return_to_owner,Dog,Intact Female,3 years,Jack Russell Terrier Mix,White/Brown
Dusty,Adoption,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Brown/Black
nan,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby
Riley,Return_to_owner,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/Black
nan,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
Sylvia,Return_to_owner,Cat,Spayed Female,8 years,Russian Blue Mix,Blue
Sunny,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie/White
Axel,Return_to_owner,Dog,Neutered Male,10 years,Doberman Pinsch,Black/Tan
Curly,Return_to_owner,Cat,Neutered Male,4 months,Devon Rex Mix,Cream
Z,Return_to_owner,Dog,Neutered Male,3 years,Treeing Walker Coonhound Mix,Tricolor
Ollie,Transfer,Dog,Intact Male,2 years,Australian Cattle Dog/Labrador Retriever,Black
Kitty,Return_to_owner,Dog,Spayed Female,8 years,Australian Cattle Dog Mix,Sable
Chloe,Adoption,Dog,Spayed Female,3 years,Yorkshire Terrier/Maltese,White/Gray
Jake,Adoption,Dog,Neutered Male,9 months,Rhod Ridgeback/Labrador Retriever,Red/Tan
Tom,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
nan,Euthanasia,Dog,Unknown,9 years,Australian Cattle Dog/Chinese Sharpei,Tan/Brown
Lucas,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Plott Hound,Brown Brindle
Alice,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby
nan,Euthanasia,Cat,Intact Male,4 years,Domestic Shorthair Mix,Orange Tabby
Layla,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Tan
nan,Transfer,Dog,Intact Male,2 weeks,Pit Bull Mix,Brown/White
Peanut,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
Hiddles,Adoption,Cat,Neutered Male,10 years,Domestic Medium Hair Mix,Orange Tabby/White
Star,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
Wesley,Return_to_owner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White/Tricolor
Boo,Transfer,Cat,Neutered Male,6 years,Domestic Shorthair Mix,White/Cream Tabby
Cookie,Transfer,Dog,Spayed Female,7 years,German Shepherd/Collie Rough,Brown/Black
Mia,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
Gecko,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
Gabe,Transfer,Dog,Neutered Male,5 years,Labrador Retriever Mix,Brown
Tex,Return_to_owner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Black/White
nan,Euthanasia,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Black/White
Jeff,Euthanasia,Dog,Neutered Male,2 years,Labrador Retriever/Black Mouth Cur,Tan/White
nan,Adoption,Cat,Neutered Male,2 months,Snowshoe Mix,Lynx Point
nan,Adoption,Dog,Spayed Female,4 months,Chinese Sharpei/Airedale Terrier,Red
nan,Euthanasia,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
nan,Adoption,Dog,Neutered Male,2 months,Dachshund/Chihuahua Shorthair,Black
Bob,Adoption,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
nan,Transfer,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
Whitey,Return_to_owner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,White/Black
Pancho Wolf,Return_to_owner,Dog,Neutered Male,3 years,Cardigan Welsh Corgi Mix,Tricolor
nan,Adoption,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan
Gwen,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
June,Adoption,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black
Smudge,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White
Diego,Return_to_owner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue/White
Logan,Died,Cat,Intact Male,3 weeks,Snowshoe Mix,Seal Point
Windsor,Adoption,Dog,Neutered Male,7 years,Harrier,Brown/Tricolor
Libby,Transfer,Cat,Intact Female,2 months,Domestic Longhair Mix,Tortie
Snowflake,Adoption,Dog,Spayed Female,4 years,Miniature Poodle/Dachshund,White/White
Tony,Transfer,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby/White
nan,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Tortie
nan,Transfer,Dog,Intact Female,1 month,Australian Kelpie Mix,Black
Collaway,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
Khloe,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
nan,Euthanasia,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
nan,Transfer,Dog,Intact Female,1 month,German Shepherd Mix,Red
Eula,Transfer,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White
Lorelai,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
nan,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
Jane,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,White/Black
Rue,Adoption,Dog,Spayed Female,12 years,Harrier Mix,Tricolor
Howler,Return_to_owner,Dog,Neutered Male,2 years,Anatol Shepherd,Brown/Black
Luke,Return_to_owner,Dog,Intact Male,9 months,American Staffordshire Terrier Mix,Fawn/White
Betsy,Return_to_owner,Dog,Spayed Female,9 years,Basset Hound Mix,White/Brown
Annie,Adoption,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Buff
Hope,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
Coco,Adoption,Dog,Spayed Female,5 months,Rottweiler Mix,Black/Brown
Lucille,Adoption,Dog,Spayed Female,4 months,Mexican Hairless Mix,Tan/Black
nan,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
Dexter,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
nan,Transfer,Cat,Neutered Male,2 weeks,Domestic Shorthair Mix,Gray Tabby
Riddle,Adoption,Dog,Neutered Male,2 months,Redbone Hound Mix,Brown/Black
Sid,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Ajax,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
Chico,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
Orson,Transfer,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black
Fiona,Return_to_owner,Dog,Spayed Female,2 years,Afghan Hound Mix,Tan/White
Hank,Return_to_owner,Dog,Neutered Male,2 years,Pointer Mix,Brown/White
Gabby,Return_to_owner,Dog,Intact Female,3 years,Pit Bull Mix,Blue/White
nan,Adoption,Dog,Spayed Female,2 months,Dachshund/Chihuahua Shorthair,Sable/White
Prince,Euthanasia,Dog,Intact Male,3 years,Pit Bull Mix,Blue Tiger/White
Penelope,Return_to_owner,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/Brown
Rigby,Adoption,Dog,Neutered Male,8 months,Border Collie/Greyhound,Blue/White
Tiki,Adoption,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
nan,Transfer,Dog,Intact Female,1 month,Miniature Poodle Mix,Black/White
Sylvie,Adoption,Dog,Spayed Female,1 year,Catahoula Mix,Yellow Brindle
Bowie,Adoption,Dog,Neutered Male,6 years,Swedish Vallhund Mix,Sable
Bella,Adoption,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
Petey,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Nikita,Return_to_owner,Dog,Spayed Female,6 months,Australian Kelpie Mix,Black/Tan
Ash,Adoption,Dog,Intact Female,1 year,Pit Bull Mix,Blue/White
nan,Transfer,Dog,Intact Female,2 weeks,Border Collie Mix,Black/White
Fancy,Transfer,Dog,Neutered Male,2 years,Papillon/Border Collie,Black/White
nan,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Tortie/White
nan,Transfer,Cat,Intact Male,5 months,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
